sample,t_ms,ch1_uv
0,92898.46,186847.4856
1,92938.16,186803.3856
2,92957.95,186863.8471
3,92997.58,186747.8639
4,93018.04,186799.4964
5,93037.89,186806.5819
6,93059.14,186826.5197
7,93077.50,186870.0162
8,93097.95,186857.6556
9,93117.83,186839.6625
10,93137.62,186845.1834
11,93197.97,186810.4935
12,93217.80,186877.4593
13,93277.24,186828.1066
14,93397.98,186895.7877
15,93437.97,186840.8918
16,93457.82,186826.4750
17,93497.77,186871.2455
18,93517.56,186871.6255
19,93557.79,186852.3806
20,93578.12,186849.2067
21,93617.80,186837.9191
22,93637.64,186868.5409
23,93657.45,186784.0514
24,93677.31,186831.8170
25,93697.44,186851.3301
26,93717.34,186805.8220
27,93737.18,186861.0308
28,93757.00,186907.6118
29,93776.81,186855.2864
30,93797.00,186826.5197
31,93816.86,186878.3087
32,93837.27,186796.8813
33,93857.05,186850.4137
34,93876.86,186815.8579
35,93897.41,186828.2184
36,93916.77,186748.3556
37,93956.97,186827.7490
38,93976.79,186837.1144
39,94397.42,186705.1721
40,94417.24,186911.8810
41,94576.60,186779.1340
42,94696.74,186839.0366
43,94777.45,186785.3925
44,94796.70,186756.9834
45,156418.55,186872.4972
46,161834.65,186364.4645
47,161854.52,186564.0208
48,161874.69,186944.5145
49,201291.41,186877.8616
50,201311.76,186822.8763
51,201351.39,186858.1250
52,201371.23,186856.3145
53,201431.21,186896.4806
54,201451.08,186793.9532
55,201471.53,186832.6664
56,201511.16,186924.5097
57,201530.75,186829.4477
58,201551.23,186833.4934
59,201571.07,186887.0482
60,201591.51,186846.8374
61,201670.96,186885.6177
62,201690.83,186898.7828
63,201710.67,186957.9926
64,201730.69,186913.5126
65,201750.56,186880.8791
66,201771.03,186842.8588
67,201790.91,186880.6109
68,201810.74,186810.9629
69,201833.44,186834.5886
70,201850.27,186781.9056
71,201870.70,186799.1164
72,201891.16,186843.6858
73,201911.01,186827.0785
74,201930.87,186868.4962
75,201950.65,186915.9266
76,201970.52,186887.0258
77,201990.40,186847.3962
78,202010.25,186890.2221
79,202030.72,186792.0086
80,202050.79,186852.8500
81,202070.68,186825.8938
